Project Title,Category,URL
TEXT SUMMARIZATION WEB APP,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project221.html
Competitive Programming,CP,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project292.html
Write yourself a Git!,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/item223.html
File Compression System,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project224.html
FAST-G,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project225.html
Developing Trading Strategy with Pine Script,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project226.html
Real time Driver Drowsiness detection System,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project227.html
The Image Cartoonifier,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project228.html
Speech to Speech Translation,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project229.html
Competitive Programming - Newbie to Master,CP,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project230.html
Path-Planning of Swarm Robotics in 2/3D space,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project241.html
Image Super Resolution using Deep Neural Networks,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project242.html
Enhance Low Resolution Image using GANs,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project243.html
MyBox,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project244.html
Deep Carlsen,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project245.html
InstiExchange - A web marketplace for IITB,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project246.html
Homomorphic Encryption for k-NN on the Cloud,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project247.html
TRayCer,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project248.html
Social media website with MERN,Developement,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project254.html
Dive into Digital Image Processing,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project249.html
Neural Quest,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project250.html
To the Quantum Future,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project251.html
Street Fighter II - Reinforcement Learning,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project252.html
Combinatorial Computing,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project253.html
Navigating the Waters of AI,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project255.html
Autonomous Driving Vehicle,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project256.html
Author Identification through Stylometric Analysis,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project257.html
Breakout Genius - Using RL to Build an AI Game Master,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project258.html
Image Captioning,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project259.html
Cricbuzz,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project260.html
Competitive Programming (CP),CP,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project261.html
Economics meets Machine Learning,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project262.html
"SynerG Lab, CSE Department - Webpage",Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project263.html
Computer vision for driverless vehicles,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project264.html
AudioHive A Social Audio App,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project265.html
Learning the Latent structure in LLMs,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project266.html
EdConnect,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project267.html
NFTs Where Art and Tech Converge,Blockchain,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project268.html
Dive into the World of Quant,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project269.html
COLLIDE,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project270.html
Image Processing and Object Detection,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project271.html
Unreal IITB,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project272.html
Human Pose Estimation,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project273.html
Find me out,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project274.html
Sign Language Recogniser,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project275.html
"E-Commerce Website for VibSpecLab, IIT Bombay",Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project276.html
Image Caption Generator,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project277.html
Intro Full stack web development:Restaurant website,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project278.html
App for Credit rating of Retailers in Clothing Industry,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project279.html
Ray Tracing,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project280.html
YOLO-Cam-Object Detection based Analytics,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project281.html
Physically Based Rendering,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project282.html
A Secure Erasure Code-Based Cloud Storage System with Secure Data Forwarding,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project283.html
Graph Machine Learning,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project284.html
âThe Watchdogsâ - Solving a murder mystery using Computer Vision and Data Science,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project285.html
ArgueAI,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project286.html
Comic GPT,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project288.html
InstiNav,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project289.html
Face detection for attendance using AI,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project290.html
Hands on Reinforcement,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project291.html
RegExamaton,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project293.html
Institute OnChain Voting System with ZKPs,Blockchain,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project294.html
Using Deep RL and NLP to allocate stocks in portfolio,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project295.html
Blockchain Development- It's not that difficult!,Blockchain,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project296.html
Light field imaging and Dual Attention Networks,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project297.html
Stable Diffusion,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project298.html
FlappeRL,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project299.html
Hands-on Computational Physics,Miscellaneous,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project300.html
Image Colorization,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project301.html
PaperPal,Machine Learning,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project302.html
JobFinderX,Development,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project303.html
